name;url;data_types;default_tasks;attribute_types;no_instances;no_attribues;year
p53 Mutants;https://archive.ics.uci.edu/ml/datasets/p53+Mutants;Multivariate;Classification;Real;16772;5409;2010
Parkinsons Telemonitoring;https://archive.ics.uci.edu/ml/datasets/Parkinsons+Telemonitoring;Multivariate;Regression;Integer$Real;5875;26;2009
Demospongiae;https://archive.ics.uci.edu/ml/datasets/Demospongiae;Multivariate;Classification;Integer;503;;2010
Opinosis Opinion  Review;https://archive.ics.uci.edu/ml/datasets/Opinosis+Opinion+%26frasl%3B+Review;Text;;;51;;2010
Breast Tissue;https://archive.ics.uci.edu/ml/datasets/Breast+Tissue;Multivariate;Classification;Real;106;10;2010
Cardiotocography;https://archive.ics.uci.edu/ml/datasets/Cardiotocography;Multivariate;Classification;Real;2126;23;2010
Wall-Following Robot Navigation Data;https://archive.ics.uci.edu/ml/datasets/Wall-Following+Robot+Navigation+Data;Multivariate$Sequential;Classification;Real;5456;24;2010
Spoken Arabic Digit;https://archive.ics.uci.edu/ml/datasets/Spoken+Arabic+Digit;Multivariate$Time-Series;Classification;Real;8800;13;2010
Localization Data for Person Activity;https://archive.ics.uci.edu/ml/datasets/Localization+Data+for+Person+Activity;Univariate$Sequential$Time-Series;Classification;Real;164860;8;2010
AutoUniv;https://archive.ics.uci.edu/ml/datasets/AutoUniv;Multivariate;Classification;Categorical$Integer$Real;;;2010
Steel Plates Faults;https://archive.ics.uci.edu/ml/datasets/Steel+Plates+Faults;Multivariate;Classification;Integer$Real;1941;27;2010
MiniBooNE particle identification;https://archive.ics.uci.edu/ml/datasets/MiniBooNE+particle+identification;Multivariate;Classification;Real;130065;50;2010
YearPredictionMSD;https://archive.ics.uci.edu/ml/datasets/YearPredictionMSD;Multivariate;Regression;Real;515345;90;2011
PEMS-SF;https://archive.ics.uci.edu/ml/datasets/PEMS-SF;Multivariate$Time-Series;Classification;Real;440;138672;2011
OpinRank Review Dataset;https://archive.ics.uci.edu/ml/datasets/OpinRank+Review+Dataset;Text;;;;;2011
Relative location of CT slices on axial axis;https://archive.ics.uci.edu/ml/datasets/Relative+location+of+CT+slices+on+axial+axis;Domain-Theory;Regression;Real;53500;386;2011
Online Handwritten Assamese Characters Dataset;https://archive.ics.uci.edu/ml/datasets/Online+Handwritten+Assamese+Characters+Dataset;Multivariate$Sequential;Classification;Integer;8235;;2011
PubChem Bioassay Data;https://archive.ics.uci.edu/ml/datasets/PubChem+Bioassay+Data;Multivariate;Classification;Integer$Real;;;2011
Record Linkage Comparison Patterns;https://archive.ics.uci.edu/ml/datasets/Record+Linkage+Comparison+Patterns;Multivariate;Classification;Real;5749132;12;2011
Communities and Crime Unnormalized;https://archive.ics.uci.edu/ml/datasets/Communities+and+Crime+Unnormalized;Multivariate;Regression;Real;2215;147;2011
Vertebral Column;https://archive.ics.uci.edu/ml/datasets/Vertebral+Column;Multivariate;Classification;Real;310;6;2011
EMG Physical Action Data Set;https://archive.ics.uci.edu/ml/datasets/EMG+Physical+Action+Data+Set;Time-Series;Classification;Real;10000;8;2011
Vicon Physical Action Data Set;https://archive.ics.uci.edu/ml/datasets/Vicon+Physical+Action+Data+Set;Time-Series;Classification;Real;3000;27;2011
Amazon Commerce reviews set;https://archive.ics.uci.edu/ml/datasets/Amazon+Commerce+reviews+set;Multivariate$Text$Domain-Theory;Classification;Real;1500;10000;2011
Amazon Access Samples;https://archive.ics.uci.edu/ml/datasets/Amazon+Access+Samples;Time-Series$Domain-Theory;Regression$Clustering$Causal-Discovery;;30000;20000;2011
Reuter_50_50;https://archive.ics.uci.edu/ml/datasets/Reuter_50_50;Multivariate$Text$Domain-Theory;Classification$Clustering;Real;2500;10000;2011
Farm Ads;https://archive.ics.uci.edu/ml/datasets/Farm+Ads;Text;Classification;;4143;54877;2011
DBWorld e-mails;https://archive.ics.uci.edu/ml/datasets/DBWorld+e-mails;Text;Classification;;64;4702;2011
KEGG Metabolic Relation Network (Directed);https://archive.ics.uci.edu/ml/datasets/KEGG+Metabolic+Relation+Network+%28Directed%29;Multivariate$Univariate$Text;Classification$Regression$Clustering;Integer$Real;53414;24;2011
KEGG Metabolic Reaction Network (Undirected);https://archive.ics.uci.edu/ml/datasets/KEGG+Metabolic+Reaction+Network+%28Undirected%29;Multivariate$Univariate$Text;Classification$Regression$Clustering;Integer$Real;65554;29;2011
Bank Marketing;https://archive.ics.uci.edu/ml/datasets/Bank+Marketing;Multivariate;Classification;Real;45211;17;2012
YouTube Comedy Slam Preference Data;https://archive.ics.uci.edu/ml/datasets/YouTube+Comedy+Slam+Preference+Data;Text;Classification;;1138562;3;2012
Gas Sensor Array Drift Dataset;https://archive.ics.uci.edu/ml/datasets/Gas+Sensor+Array+Drift+Dataset;Multivariate;Classification;Real;13910;128;2012
ILPD (Indian Liver Patient Dataset);https://archive.ics.uci.edu/ml/datasets/ILPD+%28Indian+Liver+Patient+Dataset%29;Multivariate;Classification;Integer$Real;583;10;2012
OPPORTUNITY Activity Recognition;https://archive.ics.uci.edu/ml/datasets/OPPORTUNITY+Activity+Recognition;Multivariate$Time-Series;Classification;Real;2551;242;2012
Nomao;https://archive.ics.uci.edu/ml/datasets/Nomao;Univariate;Classification;Real;34465;120;2012
SMS Spam Collection;https://archive.ics.uci.edu/ml/datasets/SMS+Spam+Collection;Multivariate$Text$Domain-Theory;Classification$Clustering;Real;5574;;2012
Skin Segmentation;https://archive.ics.uci.edu/ml/datasets/Skin+Segmentation;Univariate;Classification;Real;245057;4;2012
Planning Relax;https://archive.ics.uci.edu/ml/datasets/Planning+Relax;Univariate;Classification;Real;182;13;2012
PAMAP2 Physical Activity Monitoring;https://archive.ics.uci.edu/ml/datasets/PAMAP2+Physical+Activity+Monitoring;Multivariate$Time-Series;Classification;Real;3850505;52;2012
Restaurant & consumer data;https://archive.ics.uci.edu/ml/datasets/Restaurant+%26+consumer+data;Multivariate;;;138;47;2012
CNAE-9;https://archive.ics.uci.edu/ml/datasets/CNAE-9;Multivariate$Text;Classification;Integer;1080;857;2012
Individual household electric power consumption;https://archive.ics.uci.edu/ml/datasets/Individual+household+electric+power+consumption;Multivariate$Time-Series;Regression$Clustering;Real;2075259;9;2012
seeds;https://archive.ics.uci.edu/ml/datasets/seeds;Multivariate;Classification$Clustering;Real;210;7;2012
Northix;https://archive.ics.uci.edu/ml/datasets/Northix;Multivariate$Univariate$Text;Classification;Integer$Real;115;200;2012
QtyT40I10D100K;https://archive.ics.uci.edu/ml/datasets/QtyT40I10D100K;Sequential;;Integer;3960456;4;2012
Legal Case Reports;https://archive.ics.uci.edu/ml/datasets/Legal+Case+Reports;Text;Classification;;;;2012
Human Activity Recognition Using Smartphones;https://archive.ics.uci.edu/ml/datasets/Human+Activity+Recognition+Using+Smartphones;Multivariate$Time-Series;Classification$Clustering;;10299;561;2012
One-hundred plant species leaves data set;https://archive.ics.uci.edu/ml/datasets/One-hundred+plant+species+leaves+data+set;;Classification;Real;1600;64;2012
Energy efficiency;https://archive.ics.uci.edu/ml/datasets/Energy+efficiency;Multivariate;Classification$Regression;Integer$Real;768;8;2012
Yacht Hydrodynamics;https://archive.ics.uci.edu/ml/datasets/Yacht+Hydrodynamics;Multivariate;Regression;Real;308;7;2013
Fertility;https://archive.ics.uci.edu/ml/datasets/Fertility;Multivariate;Classification$Regression;Real;100;10;2013
Daphnet Freezing of Gait;https://archive.ics.uci.edu/ml/datasets/Daphnet+Freezing+of+Gait;Multivariate$Time-Series;Classification;Real;237;9;2013
3D Road Network (North Jutland, Denmark);https://archive.ics.uci.edu/ml/datasets/3D+Road+Network+%28North+Jutland%2C+Denmark%29;Sequential$Text;Regression$Clustering;Real;434874;4;2013
ISTANBUL STOCK EXCHANGE;https://archive.ics.uci.edu/ml/datasets/ISTANBUL+STOCK+EXCHANGE;Multivariate$Univariate$Time-Series;Classification$Regression;Real;536;8;2013
Buzz in social media;https://archive.ics.uci.edu/ml/datasets/Buzz+in+social+media+;Time-Series$Multivariate;Regression$Classification;Integer$Real;140000;77;2013
First-order theorem proving;https://archive.ics.uci.edu/ml/datasets/First-order+theorem+proving;Multivariate;Classification;Real;6118;51;2013
Wearable Computing: Classification of Body Postures and Movements (PUC-Rio);https://archive.ics.uci.edu/ml/datasets/Wearable+Computing%3A+Classification+of+Body+Postures+and+Movements+%28PUC-Rio%29;Sequential;Classification;Integer$Real;165632;18;2013
Gas sensor arrays in open sampling settings;https://archive.ics.uci.edu/ml/datasets/Gas+sensor+arrays+in+open+sampling+settings;Multivariate$Time-Series;Classification;Real;18000;1950000;2013
Climate Model Simulation Crashes;https://archive.ics.uci.edu/ml/datasets/Climate+Model+Simulation+Crashes;Multivariate;Classification;Real;540;18;2013
MicroMass;https://archive.ics.uci.edu/ml/datasets/MicroMass;Multivariate;Classification;Real;931;1300;2013
QSAR biodegradation;https://archive.ics.uci.edu/ml/datasets/QSAR+biodegradation;Multivariate;Classification;Integer$Real;1055;41;2013
BLOGGER;https://archive.ics.uci.edu/ml/datasets/BLOGGER;Multivariate;Classification;;100;6;2013
Daily and Sports Activities;https://archive.ics.uci.edu/ml/datasets/Daily+and+Sports+Activities;Multivariate$Time-Series;Classification$Clustering;Real;9120;5625;2013
User Knowledge Modeling;https://archive.ics.uci.edu/ml/datasets/User+Knowledge+Modeling;Multivariate;Classification$Clustering;Integer;403;5;2013
Reuters RCV1 RCV2 Multilingual, Multiview Text Categorization Test collection;https://archive.ics.uci.edu/ml/datasets/Reuters+RCV1+RCV2+Multilingual%2C+Multiview+Text+Categorization+Test+collection;Multivariate;Classification;Real;111740;;2013
NYSK;https://archive.ics.uci.edu/ml/datasets/NYSK;Multivariate$Sequential$Text;Clustering;;10421;7;2013
Turkiye Student Evaluation;https://archive.ics.uci.edu/ml/datasets/Turkiye+Student+Evaluation;Multivariate;Classification$Clustering;;5820;33;2013
ser Knowledge Modeling Data (Students' Knowledge Levels on DC Electrical Machines);https://archive.ics.uci.edu/ml/datasets/ser+Knowledge+Modeling+Data+%28Students%27+Knowledge+Levels+on+DC+Electrical+Machines%29;Multivariate;Classification;Real;403;5;2013
EEG Eye State;https://archive.ics.uci.edu/ml/datasets/EEG+Eye+State;Multivariate$Sequential$Time-Series;Classification;Integer$Real;14980;15;2013
Physicochemical Properties of Protein Tertiary Structure;https://archive.ics.uci.edu/ml/datasets/Physicochemical+Properties+of+Protein+Tertiary+Structure;Multivariate;Regression;Real;45730;9;2013
seismic-bumps;https://archive.ics.uci.edu/ml/datasets/seismic-bumps;Multivariate;Classification;Real;2584;19;2013
banknote authentication;https://archive.ics.uci.edu/ml/datasets/banknote+authentication;Multivariate;Classification;Real;1372;5;2013
USPTO Algorithm Challenge, run by NASA-Harvard Tournament Lab and TopCoder    Problem: Pat;https://archive.ics.uci.edu/ml/datasets/USPTO+Algorithm+Challenge%2C+run+by+NASA-Harvard+Tournament+Lab+and+TopCoder++++Problem%3A+Pat;Domain-Theory;Classification;Integer;306;5;2013
YouTube Multiview Video Games Dataset;https://archive.ics.uci.edu/ml/datasets/YouTube+Multiview+Video+Games+Dataset;Multivariate$Text;Classification$Clustering;Integer$Real;120000;1000000;2013
Gas Sensor Array Drift Dataset at Different Concentrations;https://archive.ics.uci.edu/ml/datasets/Gas+Sensor+Array+Drift+Dataset+at+Different+Concentrations;Multivariate$Time-Series;Classification$Regression$Clustering$Causa;Real;13910;129;2013
Activities of Daily Living (ADLs) Recognition Using Binary Sensors;https://archive.ics.uci.edu/ml/datasets/Activities+of+Daily+Living+%28ADLs%29+Recognition+Using+Binary+Sensors;Multivariate$Sequential$Time-Series;Classification$Clustering;;2747;;2013
SkillCraft1 Master Table Dataset;https://archive.ics.uci.edu/ml/datasets/SkillCraft1+Master+Table+Dataset;Multivariate;Regression;Integer$Real;3395;20;2013
Weight Lifting Exercises monitored with Inertial Measurement Units;https://archive.ics.uci.edu/ml/datasets/Weight+Lifting+Exercises+monitored+with+Inertial+Measurement+Units;Multivariate;Classification;Real;39242;152;2013
SML2010;https://archive.ics.uci.edu/ml/datasets/SML2010;Multivariate$Sequential$Time-Series$Text;Regression;Real;4137;24;2014
Bike Sharing Dataset;https://archive.ics.uci.edu/ml/datasets/Bike+Sharing+Dataset;Univariate;Regression;Integer$Real;17389;16;2013
Predict keywords activities in a online social media;https://archive.ics.uci.edu/ml/datasets/Predict+keywords+activities+in+a+online+social+media;Multivariate$Sequential$Time-Series;;Integer$Real;51;35;2013
Thoracic Surgery Data;https://archive.ics.uci.edu/ml/datasets/Thoracic+Surgery+Data;Multivariate;Classification;Integer$Real;470;17;2013
EMG dataset in Lower Limb;https://archive.ics.uci.edu/ml/datasets/EMG+dataset+in+Lower+Limb;Multivariate$Time-Series;;Real;132;5;2014
SUSY;https://archive.ics.uci.edu/ml/datasets/SUSY;;Classification;Real;5000000;18;2014
HIGGS;https://archive.ics.uci.edu/ml/datasets/HIGGS;;Classification;Real;11000000;28;2014
Qualitative_Bankruptcy;https://archive.ics.uci.edu/ml/datasets/Qualitative_Bankruptcy;Multivariate;Classification;;250;7;2014
LSVT Voice Rehabilitation;https://archive.ics.uci.edu/ml/datasets/LSVT+Voice+Rehabilitation;Multivariate;Classification;Real;126;309;2014
Dataset for ADL Recognition with Wrist-worn Accelerometer;https://archive.ics.uci.edu/ml/datasets/Dataset+for+ADL+Recognition+with+Wrist-worn+Accelerometer;Multivariate$Time-Series;Classification$Clustering;;;3;2014
Wilt;https://archive.ics.uci.edu/ml/datasets/Wilt;Multivariate;Classification;;4889;6;2014
User Identification From Walking Activity;https://archive.ics.uci.edu/ml/datasets/User+Identification+From+Walking+Activity;Univariate$Sequential$Time-Series;Classification$Clustering;Real;;;2014
Activity Recognition from Single Chest-Mounted Accelerometer;https://archive.ics.uci.edu/ml/datasets/Activity+Recognition+from+Single+Chest-Mounted+Accelerometer;Univariate$Sequential$Time-Series;Classification$Clustering;Real;;;2014
Leaf;https://archive.ics.uci.edu/ml/datasets/Leaf;Multivariate;Classification;Real;340;16;2014
Dresses_Attribute_Sales;https://archive.ics.uci.edu/ml/datasets/Dresses_Attribute_Sales;Text;Classification$Clustering;;501;13;2014
Tamilnadu Electricity Board Hourly Readings;https://archive.ics.uci.edu/ml/datasets/Tamilnadu+Electricity+Board+Hourly+Readings;Multivariate;Classification$Regression$Clustering;Real;45781;5;2013
Airfoil Self-Noise;https://archive.ics.uci.edu/ml/datasets/Airfoil+Self-Noise;Multivariate;Regression;Real;1503;6;2014
Wholesale customers;https://archive.ics.uci.edu/ml/datasets/Wholesale+customers;Multivariate;Classification$Clustering;Integer;440;8;2014
Twitter Data set for Arabic Sentiment Analysis;https://archive.ics.uci.edu/ml/datasets/Twitter+Data+set+for+Arabic+Sentiment+Analysis;Text;Classification;;2000;2;2014
Combined Cycle Power Plant;https://archive.ics.uci.edu/ml/datasets/Combined+Cycle+Power+Plant;Multivariate;Regression;Real;9568;4;2014
Urban Land Cover;https://archive.ics.uci.edu/ml/datasets/Urban+Land+Cover;Multivariate;Classification;;168;148;2014
Diabetes 130-US hospitals for years 1999-2008;https://archive.ics.uci.edu/ml/datasets/Diabetes+130-US+hospitals+for+years+1999-2008;Multivariate;Classification$Clustering;Integer;100000;55;2014
Bach Choral Harmony;https://archive.ics.uci.edu/ml/datasets/Bach+Choral+Harmony;Sequential;Classification;;5665;17;2014
StoneFlakes;https://archive.ics.uci.edu/ml/datasets/StoneFlakes;Multivariate;Classification$Clustering$Causal-Discovery;Real;79;8;2014
Tennis Major Tournament Match Statistics;https://archive.ics.uci.edu/ml/datasets/Tennis+Major+Tournament+Match+Statistics;Multivariate;Classification$Regression$Clustering;Integer$Real;127;42;2014
Parkinson Speech Dataset with  Multiple Types of Sound Recordings;https://archive.ics.uci.edu/ml/datasets/Parkinson+Speech+Dataset+with++Multiple+Types+of+Sound+Recordings;Multivariate;Classification$Regression;Integer$Real;1040;26;2014
Gesture Phase Segmentation;https://archive.ics.uci.edu/ml/datasets/Gesture+Phase+Segmentation;Multivariate$Sequential$Time-Series;Classification$Clustering;Real;9900;50;2014
Perfume Data;https://archive.ics.uci.edu/ml/datasets/Perfume+Data;Univariate$Domain-Theory;Classification$Clustering;Integer;560;2;2014
BlogFeedback;https://archive.ics.uci.edu/ml/datasets/BlogFeedback;Multivariate;Regression;Integer$Real;60021;281;2014
REALDISP Activity Recognition Dataset;https://archive.ics.uci.edu/ml/datasets/REALDISP+Activity+Recognition+Dataset;Multivariate$Time-Series;Classification;Real;1419;120;2014
Newspaper and magazine images segmentation dataset;https://archive.ics.uci.edu/ml/datasets/Newspaper+and+magazine+images+segmentation+dataset;;Classification;;101;;2014
AAAI 2014 Accepted Papers;https://archive.ics.uci.edu/ml/datasets/AAAI+2014+Accepted+Papers;Multivariate;Clustering;;399;6;2014
Gas sensor array under flow modulation;https://archive.ics.uci.edu/ml/datasets/Gas+sensor+array+under+flow+modulation;Multivariate$Time-Series;Classification$Regression;Real;58;120432;2014
Gas sensor array exposed to turbulent gas mixtures;https://archive.ics.uci.edu/ml/datasets/Gas+sensor+array+exposed+to+turbulent+gas+mixtures;Multivariate$Time-Series;Classification$Regression;Real;180;150000;2014
UJIIndoorLoc;https://archive.ics.uci.edu/ml/datasets/UJIIndoorLoc;Multivariate;Classification$Regression;Integer$Real;21048;529;2014
Sentence Classification;https://archive.ics.uci.edu/ml/datasets/Sentence+Classification;Text;Classification;Integer;;;2014
Dow Jones Index;https://archive.ics.uci.edu/ml/datasets/Dow+Jones+Index;Time-Series;Classification$Clustering;Integer$Real;750;16;2014
sEMG for Basic Hand movements;https://archive.ics.uci.edu/ml/datasets/sEMG+for+Basic+Hand+movements;Time-Series;Classification;Real;3000;2500;2014
AAAI 2013 Accepted Papers;https://archive.ics.uci.edu/ml/datasets/AAAI+2013+Accepted+Papers;Multivariate;Clustering;;150;5;2014
Geographical Original of Music;https://archive.ics.uci.edu/ml/datasets/Geographical+Original+of+Music;Multivariate;Classification$Regression;Real;1059;68;2014
Condition Based Maintenance of Naval Propulsion Plants;https://archive.ics.uci.edu/ml/datasets/Condition+Based+Maintenance+of+Naval+Propulsion+Plants;Multivariate;Regression;Real;11934;16;2014
Grammatical Facial Expressions;https://archive.ics.uci.edu/ml/datasets/Grammatical+Facial+Expressions;Multivariate$Sequential;Classification$Clustering;Real;27965;100;2014
NoisyOffice;https://archive.ics.uci.edu/ml/datasets/NoisyOffice;Multivariate;Classification$Regression;Real;216;216;2015
MHEALTH Dataset;https://archive.ics.uci.edu/ml/datasets/MHEALTH+Dataset;Multivariate$Time-Series;Classification;Real;120;23;2014
Student Performance;https://archive.ics.uci.edu/ml/datasets/Student+Performance;Multivariate;Classification$Regression;Integer;649;33;2014
ElectricityLoadDiagrams20112014;https://archive.ics.uci.edu/ml/datasets/ElectricityLoadDiagrams20112014;Time-Series;Regression$Clustering;Real;370;140256;2015
Gas sensor array under dynamic gas mixtures;https://archive.ics.uci.edu/ml/datasets/Gas+sensor+array+under+dynamic+gas+mixtures;Multivariate$Time-Series;Classification$Regression;Real;4178504;19;2015
microblogPCU;https://archive.ics.uci.edu/ml/datasets/microblogPCU;Multivariate$Univariate$Sequential$Text;Classification$Causal-Discovery;Integer$Real;221579;20;2015
Firm-Teacher_Clave-Direction_Classification;https://archive.ics.uci.edu/ml/datasets/Firm-Teacher_Clave-Direction_Classification;Multivariate;Classification;;10800;20;2015
Dataset for Sensorless Drive Diagnosis;https://archive.ics.uci.edu/ml/datasets/Dataset+for+Sensorless+Drive+Diagnosis;Multivariate;Classification;Real;58509;49;2015
TV News Channel Commercial Detection Dataset;https://archive.ics.uci.edu/ml/datasets/TV+News+Channel+Commercial+Detection+Dataset;Multivariate;Classification$Clustering;Real;129685;12;2015
Phishing Websites;https://archive.ics.uci.edu/ml/datasets/Phishing+Websites;;Classification;Integer;2456;30;2015
Greenhouse Gas Observing Network;https://archive.ics.uci.edu/ml/datasets/Greenhouse+Gas+Observing+Network;Multivariate$Time-Series;Regression;Real;2921;5232;2015
Diabetic Retinopathy Debrecen Data Set;https://archive.ics.uci.edu/ml/datasets/Diabetic+Retinopathy+Debrecen+Data+Set;Multivariate;Classification;Integer$Real;1151;20;2014
HIV-1 protease cleavage;https://archive.ics.uci.edu/ml/datasets/HIV-1+protease+cleavage;Multivariate;Classification;Categorical;6590;1;2015
Sentiment Labelled Sentences;https://archive.ics.uci.edu/ml/datasets/Sentiment+Labelled+Sentences;Text;Classification;;3000;;2015
Online News Popularity;https://archive.ics.uci.edu/ml/datasets/Online+News+Popularity;Multivariate;Classification$Regression;Integer$Real;39797;61;2015
Forest type mapping;https://archive.ics.uci.edu/ml/datasets/Forest+type+mapping;Multivariate;Classification;;326;27;2015
wiki4HE;https://archive.ics.uci.edu/ml/datasets/wiki4HE;Multivariate;Regression$Clustering$Causal-Discovery;;913;53;2015
Online Video Characteristics and Transcoding Time Dataset;https://archive.ics.uci.edu/ml/datasets/Online+Video+Characteristics+and+Transcoding+Time+Dataset;Multivariate;Regression;Integer$Real;168286;11;2015
Chronic_Kidney_Disease;https://archive.ics.uci.edu/ml/datasets/Chronic_Kidney_Disease;Multivariate;Classification;Real;400;25;2015
Machine Learning based ZZAlpha Ltd. Stock Recommendations 2012-2014;https://archive.ics.uci.edu/ml/datasets/Machine+Learning+based+ZZAlpha+Ltd.+Stock+Recommendations+2012-2014;Sequential$Time-Series;Classification;Real;314080;0;2015
Folio;https://archive.ics.uci.edu/ml/datasets/Folio;Multivariate;Classification$Clustering;;637;20;2015
Taxi Service Trajectory - Prediction Challenge, ECML PKDD 2015;https://archive.ics.uci.edu/ml/datasets/Taxi+Service+Trajectory+-+Prediction+Challenge%2C+ECML+PKDD+2015;Multivariate$Sequential$Time-Series$Domain-Theory;Clustering$Causal-Discovery;Real;1710671;9;2015
Cuff-Less Blood Pressure Estimation;https://archive.ics.uci.edu/ml/datasets/Cuff-Less+Blood+Pressure+Estimation;Multivariate;Classification$Regression;Real;12000;3;2015
Smartphone-Based Recognition of Human Activities and Postural Transitions;https://archive.ics.uci.edu/ml/datasets/Smartphone-Based+Recognition+of+Human+Activities+and+Postural+Transitions;Multivariate$Time-Series;Classification;Real;10929;561;2015
Mice Protein Expression;https://archive.ics.uci.edu/ml/datasets/Mice+Protein+Expression;Multivariate;Classification$Clustering;Real;1080;82;2015
UJIIndoorLoc-Mag;https://archive.ics.uci.edu/ml/datasets/UJIIndoorLoc-Mag;Multivariate$Sequential$Time-Series;Classification$Regression$Clustering;Integer$Real;40000;13;2015
Heterogeneity Activity Recognition;https://archive.ics.uci.edu/ml/datasets/Heterogeneity+Activity+Recognition;Multivariate$Time-Series;Classification$Clustering;Real;43930257;16;2015
Educational Process Mining (EPM): A Learning Analytics Data Set;https://archive.ics.uci.edu/ml/datasets/Educational+Process+Mining+%28EPM%29%3A+A+Learning+Analytics+Data+Set;Multivariate$Sequential$Time-Series;Classification$Regression$Clustering;Integer;230318;13;2015
HEPMASS;https://archive.ics.uci.edu/ml/datasets/HEPMASS;Multivariate;Classification;Real;10500000;28;2016
Indoor User Movement Prediction from RSS data;https://archive.ics.uci.edu/ml/datasets/Indoor+User+Movement+Prediction+from+RSS+data;Multivariate$Sequential$Time-Series;Classification;Real;13197;4;2016
Open University Learning Analytics dataset;https://archive.ics.uci.edu/ml/datasets/Open+University+Learning+Analytics+dataset;Multivariate$Sequential$Time-Series;Classification$Regression$Clustering;Integer;;;2015
default of credit card clients;https://archive.ics.uci.edu/ml/datasets/default+of+credit+card+clients;Multivariate;Classification;Integer$Real;30000;24;2016
Mesotheliomas disease data set;https://archive.ics.uci.edu/ml/datasets/Mesothelioma%E2%80%99s+disease+data+set+;Multivariate;Classification;Real;324;34;2016
Online Retail;https://archive.ics.uci.edu/ml/datasets/Online+Retail;Multivariate$Sequential$Time-Series;Classification$Clustering;Integer$Real;541909;8;2015
