name;url;data_types;default_tasks;attribute_types;no_instances;no_attribues;year
SIFT10M;https://archive.ics.uci.edu/ml/datasets/SIFT10M;Multivariate;Causal-Discovery;Integer;11164866;128;2016
GPS Trajectories;https://archive.ics.uci.edu/ml/datasets/GPS+Trajectories;Multivariate;Classification$Regression;Real;163;15;2016
Detect Malacious Executable(AntiVirus);https://archive.ics.uci.edu/ml/datasets/Detect+Malacious+Executable%28AntiVirus%29;Multivariate;Classification;Real;373;513;2016
Occupancy Detection;https://archive.ics.uci.edu/ml/datasets/Occupancy+Detection+;Multivariate$Time-Series;Classification;Real;20560;7;2016
Improved Spiral Test Using Digitized Graphics Tablet for Monitoring Parkinsons Disease;https://archive.ics.uci.edu/ml/datasets/Improved+Spiral+Test+Using+Digitized+Graphics+Tablet+for+Monitoring+Parkinson%E2%80%99s+Disease;Multivariate;Classification$Regression$Clustering;Real;40;7;2016
News Aggregator;https://archive.ics.uci.edu/ml/datasets/News+Aggregator;Multivariate;Classification$Clustering;;422937;5;2016
Air Quality;https://archive.ics.uci.edu/ml/datasets/Air+Quality;Multivariate$Time-Series;Regression;Real;9358;15;2016
Twin gas sensor arrays;https://archive.ics.uci.edu/ml/datasets/Twin+gas+sensor+arrays;Multivariate$Time-Series$Domain-Theory;Classification$Regression;Real;640;480000;2016
Gas sensors for home activity monitoring;https://archive.ics.uci.edu/ml/datasets/Gas+sensors+for+home+activity+monitoring;Multivariate$Time-Series;Classification;Real;919438;11;2016
Facebook Comment Volume Dataset;https://archive.ics.uci.edu/ml/datasets/Facebook+Comment+Volume+Dataset;Multivariate;Regression;Integer$Real;40949;54;2016
Smartphone Dataset for Human Activity Recognition (HAR) in Ambient Assisted Living (AAL);https://archive.ics.uci.edu/ml/datasets/Smartphone+Dataset+for+Human+Activity+Recognition+%28HAR%29+in+Ambient+Assisted+Living+%28AAL%29;Time-Series;Classification;Real;5744;561;2016
Polish companies bankruptcy data;https://archive.ics.uci.edu/ml/datasets/Polish+companies+bankruptcy+data;Multivariate;Classification;Real;10503;64;2016
Activity Recognition system based on Multisensor data fusion (AReM);https://archive.ics.uci.edu/ml/datasets/Activity+Recognition+system+based+on+Multisensor+data+fusion+%28AReM%29;Multivariate$Sequential$Time-Series;Classification;Real;42240;6;2016
Dota2 Games Results;https://archive.ics.uci.edu/ml/datasets/Dota2+Games+Results;Multivariate;Classification;;102944;116;2016
Facebook metrics;https://archive.ics.uci.edu/ml/datasets/Facebook+metrics;Multivariate;Regression;Integer;500;19;2016
UbiqLog (smartphone lifelogging);https://archive.ics.uci.edu/ml/datasets/UbiqLog+%28smartphone+lifelogging%29;Multivariate;Causal-Discovery;;9782222;;2016
NIPS Conference Papers 1987-2015;https://archive.ics.uci.edu/ml/datasets/NIPS+Conference+Papers+1987-2015;Text;Clustering;Integer;11463;5812;2016
HTRU2;https://archive.ics.uci.edu/ml/datasets/HTRU2;Multivariate;Classification$Clustering;Real;17898;9;2017
Drug consumption (quantified);https://archive.ics.uci.edu/ml/datasets/Drug+consumption+%28quantified%29;Multivariate;Classification;Real;1885;32;2016
Appliances energy prediction;https://archive.ics.uci.edu/ml/datasets/Appliances+energy+prediction;Multivariate$Time-Series;Regression;Real;19735;29;2017
Miskolc IIS Hybrid IPS;https://archive.ics.uci.edu/ml/datasets/Miskolc+IIS+Hybrid+IPS;Text;Classification$Clustering$Causal-Discovery;Integer;1540;67;2016
KDC-4007 dataset Collection;https://archive.ics.uci.edu/ml/datasets/KDC-4007+dataset+Collection;Multivariate$Text;Classification$Regression;Integer;4007;;2017
Geo-Magnetic field and WLAN dataset for indoor localisation from wristband and smartphone;https://archive.ics.uci.edu/ml/datasets/Geo-Magnetic+field+and+WLAN+dataset+for+indoor+localisation+from+wristband+and+smartphone;Multivariate$Sequential$Time-Series;Classification$Regression$Clustering;Integer$Real;153540;25;2017
DrivFace;https://archive.ics.uci.edu/ml/datasets/DrivFace;Multivariate;Classification$Regression$Clustering;Real;606;6400;2016
Website Phishing;https://archive.ics.uci.edu/ml/datasets/Website+Phishing;Multivariate;Classification;Integer;1353;10;2016
YouTube Spam Collection;https://archive.ics.uci.edu/ml/datasets/YouTube+Spam+Collection;Text;Classification;;1956;5;2017
Beijing PM2.5 Data;https://archive.ics.uci.edu/ml/datasets/Beijing+PM2.5+Data;Multivariate$Time-Series;Regression;Integer$Real;43824;13;2017
Cargo 2000 Freight Tracking and Tracing;https://archive.ics.uci.edu/ml/datasets/Cargo+2000+Freight+Tracking+and+Tracing;Multivariate$Sequential;Classification$Regression;Integer;3942;98;2016
Cervical cancer (Risk Factors);https://archive.ics.uci.edu/ml/datasets/Cervical+cancer+%28Risk+Factors%29;Multivariate;Classification;Integer$Real;858;36;2017
Quality Assessment of Digital Colposcopies;https://archive.ics.uci.edu/ml/datasets/Quality+Assessment+of+Digital+Colposcopies;Multivariate;Classification;Real;287;69;2017
KASANDR;https://archive.ics.uci.edu/ml/datasets/KASANDR;Multivariate;Causal-Discovery;Integer;17764280;2158859;2017
FMA: A Dataset For Music Analysis;https://archive.ics.uci.edu/ml/datasets/FMA%3A+A+Dataset+For+Music+Analysis;Multivariate$Time-Series;Classification$Clustering;Real;106574;518;2017
Air quality;https://archive.ics.uci.edu/ml/datasets/Air+quality;Multivariate$Time-Series;Regression;Real;9358;15;2016
Epileptic Seizure Recognition;https://archive.ics.uci.edu/ml/datasets/Epileptic+Seizure+Recognition;Multivariate$Time-Series;Classification$Clustering;Integer$Real;11500;179;2017
Devanagari Handwritten Character Dataset;https://archive.ics.uci.edu/ml/datasets/Devanagari+Handwritten+Character+Dataset;;Classification;Integer;92000;;2016
Stock portfolio performance;https://archive.ics.uci.edu/ml/datasets/Stock+portfolio+performance;Multivariate;Regression;Real;315;12;2016
MoCap Hand Postures;https://archive.ics.uci.edu/ml/datasets/MoCap+Hand+Postures;Multivariate;Classification$Clustering;Integer$Real;78095;38;2016
Early biomarkers of Parkinsons disease based on natural connected speech;https://archive.ics.uci.edu/ml/datasets/Early+biomarkers+of+Parkinson%92s+disease+based+on+natural+connected+speech;Multivariate;Classification$Regression;Integer$Real;130;65;2017
Data for Software Engineering Teamwork Assessment in Education Setting;https://archive.ics.uci.edu/ml/datasets/Data+for+Software+Engineering+Teamwork+Assessment+in+Education+Setting;Sequential$Time-Series;Classification;Integer$Real;74;102;2017
PM2.5 Data of Five Chinese Cities;https://archive.ics.uci.edu/ml/datasets/PM2.5+Data+of+Five+Chinese+Cities;Multivariate$Time-Series;Regression;Integer$Real;52854;86;2017
Parkinson Disease Spiral Drawings Using Digitized Graphics Tablet;https://archive.ics.uci.edu/ml/datasets/Parkinson+Disease+Spiral+Drawings+Using+Digitized+Graphics+Tablet;Multivariate;Classification$Regression$Clustering;Integer;77;7;2017
Sales_Transactions_Dataset_Weekly;https://archive.ics.uci.edu/ml/datasets/Sales_Transactions_Dataset_Weekly;Multivariate$Time-Series;Clustering;Integer$Real;811;53;2017
Las Vegas Strip;https://archive.ics.uci.edu/ml/datasets/Las+Vegas+Strip;;Classification$Regression;Integer;504;20;2017
Eco-hotel;https://archive.ics.uci.edu/ml/datasets/Eco-hotel;Text;;;401;1;2017
MEU-Mobile KSD;https://archive.ics.uci.edu/ml/datasets/MEU-Mobile+KSD;Multivariate;Classification;Integer$Real;2856;71;2016
Crowdsourced Mapping;https://archive.ics.uci.edu/ml/datasets/Crowdsourced+Mapping;Multivariate;Classification;;10546;29;2016
gene expression cancer RNA-Seq;https://archive.ics.uci.edu/ml/datasets/gene+expression+cancer+RNA-Seq;Multivariate;Classification$Clustering;Real;801;20531;2016
Hybrid Indoor Positioning Dataset from WiFi RSSI, Bluetooth and magnetometer;https://archive.ics.uci.edu/ml/datasets/Hybrid+Indoor+Positioning+Dataset+from+WiFi+RSSI%2C+Bluetooth+and+magnetometer;Multivariate$Sequential$Time-Series;Classification;Real;1540;65;2016
chestnut  LARVIC;https://archive.ics.uci.edu/ml/datasets/chestnut+%E2%80%93+LARVIC;;Classification$Clustering;;1451;3;2017
Burst Header Packet (BHP) flooding attack on Optical Burst Switching (OBS) Network;https://archive.ics.uci.edu/ml/datasets/Burst+Header+Packet+%28BHP%29+flooding+attack+on+Optical+Burst+Switching+%28OBS%29+Network;Text;Classification;Integer;1075;22;2017
Motion Capture Hand Postures;https://archive.ics.uci.edu/ml/datasets/Motion+Capture+Hand+Postures;Multivariate;Classification$Clustering;Real;78095;38;2017
Anuran Calls (MFCCs);https://archive.ics.uci.edu/ml/datasets/Anuran+Calls+%28MFCCs%29;Multivariate;Classification$Clustering;Real;7195;22;2017
TTC-3600: Benchmark dataset for Turkish text categorization;https://archive.ics.uci.edu/ml/datasets/TTC-3600%3A+Benchmark+dataset+for+Turkish+text+categorization;Text;Classification$Clustering;Integer;3600;4814;2017
Gastrointestinal Lesions in Regular Colonoscopy;https://archive.ics.uci.edu/ml/datasets/Gastrointestinal+Lesions+in+Regular+Colonoscopy;Multivariate;Classification;Real;76;698;2016
Daily Demand Forecasting Orders;https://archive.ics.uci.edu/ml/datasets/Daily+Demand+Forecasting+Orders;Time-Series;Regression;Integer;60;13;2017
Paper Reviews;https://archive.ics.uci.edu/ml/datasets/Paper+Reviews;Text;Classification$Regression;Integer;405;10;2017
extention of Z-Alizadeh sani dataset;https://archive.ics.uci.edu/ml/datasets/extention+of+Z-Alizadeh+sani+dataset;;Classification;Integer$Real;303;59;2017
Z-Alizadeh Sani;https://archive.ics.uci.edu/ml/datasets/Z-Alizadeh+Sani;;Classification;Integer$Real;303;56;2017
Dynamic Features of VirusShare Executables;https://archive.ics.uci.edu/ml/datasets/Dynamic+Features+of+VirusShare+Executables;Multivariate$Time-Series;Classification$Regression;Integer;107888;482;2017
IDA2016Challenge;https://archive.ics.uci.edu/ml/datasets/IDA2016Challenge;Multivariate;Classification;Integer;76000;171;2017
DSRC Vehicle Communications;https://archive.ics.uci.edu/ml/datasets/DSRC+Vehicle+Communications;Sequential$Text;Clustering;Real;10000;5;2017
Mturk User-Perceived Clusters over Images;https://archive.ics.uci.edu/ml/datasets/Mturk+User-Perceived+Clusters+over+Images;Multivariate$Text;Clustering;Integer;180;500;2016
Character Font Images;https://archive.ics.uci.edu/ml/datasets/Character+Font+Images;Multivariate;Classification;Integer$Real;745000;411;2016
DeliciousMIL: A Data Set for Multi-Label Multi-Instance Learning with Instance Labels;https://archive.ics.uci.edu/ml/datasets/DeliciousMIL%3A+A+Data+Set+for+Multi-Label+Multi-Instance+Learning+with+Instance+Labels;Text;Classification;Integer;12234;8519;2016
Autistic Spectrum Disorder Screening Data for Children;https://archive.ics.uci.edu/ml/datasets/Autistic+Spectrum+Disorder+Screening+Data+for+Children++;Multivariate;Classification;Integer;292;21;2017
Autistic Spectrum Disorder Screening Data for Adolescent;https://archive.ics.uci.edu/ml/datasets/Autistic+Spectrum+Disorder+Screening+Data+for+Adolescent+++;Multivariate;Classification;Integer;104;21;2017
APS Failure at Scania Trucks;https://archive.ics.uci.edu/ml/datasets/APS+Failure+at+Scania+Trucks;Multivariate;Classification;Integer$Real;60000;171;2017
Wireless Indoor Localization;https://archive.ics.uci.edu/ml/datasets/Wireless+Indoor+Localization;Multivariate;Classification;Real;2000;7;2017
HCC Survival;https://archive.ics.uci.edu/ml/datasets/HCC+Survival;Multivariate;Classification;Integer$Real;165;49;2017
CSM (Conventional and Social Media Movies) Dataset 2014 and 2015;https://archive.ics.uci.edu/ml/datasets/CSM+%28Conventional+and+Social+Media+Movies%29+Dataset+2014+and+2015;Multivariate;Classification$Regression;Integer;217;12;2017
University of Tehran Question Dataset 2016 (UTQD.2016);https://archive.ics.uci.edu/ml/datasets/University+of+Tehran+Question+Dataset+2016+%28UTQD.2016%29;Text;Classification;;1175;3;2017
Autism Screening Adult;https://archive.ics.uci.edu/ml/datasets/Autism+Screening+Adult;;Classification;Integer;704;21;2017
Activity recognition with healthy older people using a batteryless wearable sensor;https://archive.ics.uci.edu/ml/datasets/Activity+recognition+with+healthy+older+people+using+a+batteryless+wearable+sensor;Sequential;Classification;Real;75128;9;2016
Immunotherapy Dataset;https://archive.ics.uci.edu/ml/datasets/Immunotherapy+Dataset;Univariate;Classification;Integer$Real;90;8;2018
Cryotherapy Dataset;https://archive.ics.uci.edu/ml/datasets/Cryotherapy+Dataset+;Univariate;Classification;Integer$Real;90;7;2018
OCT data & Color Fundus Images of Left & Right Eyes;https://archive.ics.uci.edu/ml/datasets/OCT+data+%26+Color+Fundus+Images+of+Left+%26+Right+Eyes;Multivariate;Classification;Real;50;2;2016
Discrete Tone Image Dataset;https://archive.ics.uci.edu/ml/datasets/Discrete+Tone+Image+Dataset;Multivariate;Classification;;71;11;2018
News Popularity in Multiple Social Media Platforms;https://archive.ics.uci.edu/ml/datasets/News+Popularity+in+Multiple+Social+Media+Platforms;Multivariate$Time-Series$Text;Regression;Integer$Real;93239;11;2018
Ultrasonic flowmeter diagnostics;https://archive.ics.uci.edu/ml/datasets/Ultrasonic+flowmeter+diagnostics;Multivariate;Classification;Real;540;173;2018
ICMLA 2014 Accepted Papers Data Set;https://archive.ics.uci.edu/ml/datasets/ICMLA+2014+Accepted+Papers+Data+Set;Multivariate;Classification$Clustering;;105;5;2018
BLE RSSI Dataset for Indoor localization and Navigation;https://archive.ics.uci.edu/ml/datasets/BLE+RSSI+Dataset+for+Indoor+localization+and+Navigation;Multivariate$Sequential$Time-Series;Classification$Clustering;Integer;6611;15;2018
Container Crane Controller Data Set;https://archive.ics.uci.edu/ml/datasets/Container+Crane+Controller+Data+Set;Univariate$Domain-Theory;Classification$Regression;Real;15;3;2018
Residential Building Data Set;https://archive.ics.uci.edu/ml/datasets/Residential+Building+Data+Set;Multivariate;Regression;Real;372;105;2018
Health News in Twitter;https://archive.ics.uci.edu/ml/datasets/Health+News+in+Twitter;Text;Clustering;Real;58000;25000;2018
chipseq;https://archive.ics.uci.edu/ml/datasets/chipseq;Sequential;Classification;Integer;4960;;2018
SGEMM GPU kernel performance;https://archive.ics.uci.edu/ml/datasets/SGEMM+GPU+kernel+performance;Multivariate;Regression;Integer;241600;18;2018
Repeat Consumption Matrices;https://archive.ics.uci.edu/ml/datasets/Repeat+Consumption+Matrices;Multivariate;Clustering;Real;130000;21000;2018
detection_of_IoT_botnet_attacks_N_BaIoT;https://archive.ics.uci.edu/ml/datasets/detection_of_IoT_botnet_attacks_N_BaIoT;Multivariate$Sequential;Classification$Clustering;Real;7062606;115;2018
Absenteeism at work;https://archive.ics.uci.edu/ml/datasets/Absenteeism+at+work;Multivariate$Time-Series;Classification$Clustering;Integer$Real;740;21;2018
SCADI;https://archive.ics.uci.edu/ml/datasets/SCADI;Multivariate;Classification$Clustering;;70;206;2018
Condition monitoring of hydraulic systems;https://archive.ics.uci.edu/ml/datasets/Condition+monitoring+of+hydraulic+systems;Multivariate$Time-Series;Classification$Regression;Real;2205;43680;2018
Carbon Nanotubes;https://archive.ics.uci.edu/ml/datasets/Carbon+Nanotubes;Univariate;Regression;Real;10721;8;2018
Optical Interconnection Network;https://archive.ics.uci.edu/ml/datasets/Optical+Interconnection+Network+;Multivariate;Classification$Regression;Integer$Real;640;10;2018
Sports articles for objectivity analysis;https://archive.ics.uci.edu/ml/datasets/Sports+articles+for+objectivity+analysis;Multivariate$Text;Classification;Integer;1000;59;2018
Breast Cancer Coimbra;https://archive.ics.uci.edu/ml/datasets/Breast+Cancer+Coimbra;Multivariate;Classification;Integer;116;10;2018
GNFUV Unmanned Surface Vehicles Sensor Data;https://archive.ics.uci.edu/ml/datasets/GNFUV+Unmanned+Surface+Vehicles+Sensor+Data;Multivariate$Time-Series;Regression;Real;1672;5;2018
Dishonest Internet users Dataset;https://archive.ics.uci.edu/ml/datasets/Dishonest+Internet+users+Dataset;Multivariate;Classification$Clustering;;322;5;2018
Victorian Era Authorship Attribution;https://archive.ics.uci.edu/ml/datasets/Victorian+Era+Authorship+Attribution;Text;Classification;;93600;1000;2018
Simulated Falls and Daily Living Activities Data Set;https://archive.ics.uci.edu/ml/datasets/Simulated+Falls+and+Daily+Living+Activities+Data+Set;Time-Series;Classification;Integer;3060;138;2018
Multimodal Damage Identification for Humanitarian Computing;https://archive.ics.uci.edu/ml/datasets/Multimodal+Damage+Identification+for+Humanitarian+Computing;Multivariate$Text;Classification;Integer;5879;;2018
EEG Steady-State Visual Evoked Potential Signals;https://archive.ics.uci.edu/ml/datasets/EEG+Steady-State+Visual+Evoked+Potential+Signals;Multivariate$Time-Series;Classification$Regression;Integer;9200;16;2018
Roman Urdu Data Set;https://archive.ics.uci.edu/ml/datasets/Roman+Urdu+Data+Set;Text;Classification;;20000;2;2018
Avila;https://archive.ics.uci.edu/ml/datasets/Avila;Multivariate;Classification;Real;20867;10;2018
PANDOR;https://archive.ics.uci.edu/ml/datasets/PANDOR;Multivariate;Recommendation;Categorical;;;2018
Drug Review Dataset (Druglib.com);https://archive.ics.uci.edu/ml/datasets/Drug+Review+Dataset+%28Druglib.com%29;Multivariate$Text;Classification$Regression$Clustering;Integer;4143;8;2018
Drug Review Dataset (Drugs.com);https://archive.ics.uci.edu/ml/datasets/Drug+Review+Dataset+%28Drugs.com%29;Multivariate$Text;Classification$Regression$Clustering;Integer;215063;6;2018
Physical Unclonable Functions;https://archive.ics.uci.edu/ml/datasets/Physical+Unclonable+Functions;Multivariate;Classification;Integer;6000000;129;2018
Superconductivty Data;https://archive.ics.uci.edu/ml/datasets/Superconductivty+Data;Multivariate;Regression;Real;21263;81;2018
WESAD (Wearable Stress and Affect Detection);https://archive.ics.uci.edu/ml/datasets/WESAD+%28Wearable+Stress+and+Affect+Detection%29;Multivariate$Time-Series;Classification$Regression;Real;63000000;12;2018
GNFUV Unmanned Surface Vehicles Sensor Data Set 2;https://archive.ics.uci.edu/ml/datasets/GNFUV+Unmanned+Surface+Vehicles+Sensor+Data+Set+2;Multivariate$Sequential$Time-Series;Regression;Real;10190;6;2018
Student Academics Performance;https://archive.ics.uci.edu/ml/datasets/Student+Academics+Performance;Multivariate;Classification;;300;22;2018
Online Shoppers Purchasing Intention Dataset;https://archive.ics.uci.edu/ml/datasets/Online+Shoppers+Purchasing+Intention+Dataset;Multivariate;Classification$Clustering;Integer$Real;12330;18;2018
PMU-UD;https://archive.ics.uci.edu/ml/datasets/PMU-UD;Univariate;Classification;;5180;9;2018
Parkinson's Disease Classification;https://archive.ics.uci.edu/ml/datasets/Parkinson%27s+Disease+Classification;Multivariate;Classification;Integer$Real;756;754;2018
Electrical Grid Stability Simulated Data;https://archive.ics.uci.edu/ml/datasets/Electrical+Grid+Stability+Simulated+Data+;Multivariate;Classification$Regression;Real;10000;14;2018
Caesarian Section Classification Dataset;https://archive.ics.uci.edu/ml/datasets/Caesarian+Section+Classification+Dataset;Univariate;Classification;Integer;80;5;2018
BAUM-1;https://archive.ics.uci.edu/ml/datasets/BAUM-1;Time-Series;Classification;;1184;;2018
BAUM-2;https://archive.ics.uci.edu/ml/datasets/BAUM-2;Time-Series;Classification;;1047;;2018
Audit Data;https://archive.ics.uci.edu/ml/datasets/Audit+Data;Multivariate;Classification;Real;777;18;2018
BuddyMove Data Set;https://archive.ics.uci.edu/ml/datasets/BuddyMove+Data+Set;Multivariate$Text;Classification$Clustering;Real;249;7;2018
Real estate valuation data set;https://archive.ics.uci.edu/ml/datasets/Real+estate+valuation+data+set;Multivariate;Regression;Integer$Real;414;7;2018
Early biomarkers of Parkinsons disease based on natural connected speech Data Set;https://archive.ics.uci.edu/ml/datasets/Early+biomarkers+of+Parkinson%E2%80%99s+disease+based+on+natural+connected+speech+Data+Set+;Multivariate;Classification;Real;;;2018
Somerville Happiness Survey;https://archive.ics.uci.edu/ml/datasets/Somerville+Happiness+Survey;;Classification;Integer;143;7;2018
2.4 GHZ Indoor Channel Measurements;https://archive.ics.uci.edu/ml/datasets/2.4+GHZ+Indoor+Channel+Measurements;Multivariate;Classification;Real;7840;5;2018
EMG data for gestures;https://archive.ics.uci.edu/ml/datasets/EMG+data+for+gestures;Time-Series;Classification;Real;30000;6;2019
Parking Birmingham;https://archive.ics.uci.edu/ml/datasets/Parking+Birmingham;Multivariate$Univariate$Sequential$Time-Series;Classification$Regression$Clustering;Real;35717;4;2019
Behavior of the urban traffic of the city of Sao Paulo in Brazil;https://archive.ics.uci.edu/ml/datasets/Behavior+of+the+urban+traffic+of+the+city+of+Sao+Paulo+in+Brazil;Multivariate$Time-Series;Classification$Regression;Integer$Real;135;18;2018
Travel Reviews;https://archive.ics.uci.edu/ml/datasets/Travel+Reviews;Multivariate$Text;Classification$Clustering;Real;980;11;2018
Tarvel Review Ratings;https://archive.ics.uci.edu/ml/datasets/Tarvel+Review+Ratings;Multivariate$Text;Classification$Clustering;Real;5456;25;2018
Rice Leaf Diseases;https://archive.ics.uci.edu/ml/datasets/Rice+Leaf+Diseases;Multivariate;Classification;Integer;120;;2019
Gas sensor array temperature modulation;https://archive.ics.uci.edu/ml/datasets/Gas+sensor+array+temperature+modulation;Multivariate$Time-Series;Classification$Regression;Real;4095000;20;2019
Facebook Live Sellers in Thailand;https://archive.ics.uci.edu/ml/datasets/Facebook+Live+Sellers+in+Thailand;Multivariate;Clustering;Integer;7051;12;2019
Parkinson Dataset with replicated acoustic features;https://archive.ics.uci.edu/ml/datasets/Parkinson+Dataset+with+replicated+acoustic+features+;Multivariate;Classification;;240;46;2019
Metro Interstate Traffic Volume;https://archive.ics.uci.edu/ml/datasets/Metro+Interstate+Traffic+Volume;Multivariate$Sequential$Time-Series;Regression;Integer$Real;48204;9;2019
Query Analytics Workloads Dataset;https://archive.ics.uci.edu/ml/datasets/Query+Analytics+Workloads+Dataset;Multivariate;Regression$Clustering;Real;260000;8;2019
Wave Energy Converters;https://archive.ics.uci.edu/ml/datasets/Wave+Energy+Converters;Multivariate;Regression;Real;288000;49;2019
PPG-DaLiA;https://archive.ics.uci.edu/ml/datasets/PPG-DaLiA;Multivariate$Time-Series;Regression;Real;8300000;11;2019
Alcohol QCM Sensor Dataset;https://archive.ics.uci.edu/ml/datasets/Alcohol+QCM+Sensor+Dataset;Multivariate;Classification$Regression$Clustering;Real;125;8;2019
Divorce Predictors data set;https://archive.ics.uci.edu/ml/datasets/Divorce+Predictors+data+set;Multivariate$Univariate;Classification;Integer;170;54;2019
Incident management process enriched event log;https://archive.ics.uci.edu/ml/datasets/Incident+management+process+enriched+event+log;Multivariate$Sequential;Regression$Clustering;Integer;141712;36;2019
Opinion Corpus for Lebanese Arabic Reviews (OCLAR);https://archive.ics.uci.edu/ml/datasets/Opinion+Corpus+for+Lebanese+Arabic+Reviews+%28OCLAR%29;Text;Classification;Integer;3916;3916;2019
MEx;https://archive.ics.uci.edu/ml/datasets/MEx;Time-Series;Classification$Clustering;Real;6262;710;2019
Beijing Multi-Site Air-Quality Data;https://archive.ics.uci.edu/ml/datasets/Beijing+Multi-Site+Air-Quality+Data;Multivariate$Time-Series;Regression;Integer$Real;420768;18;2019
Online Retail II;https://archive.ics.uci.edu/ml/datasets/Online+Retail+II;Multivariate$Sequential$Time-Series$Text;Classification$Regression$Clustering;Integer$Real;1067371;8;2019
Hepatitis C Virus (HCV) for Egyptian patients;https://archive.ics.uci.edu/ml/datasets/Hepatitis+C+Virus+%28HCV%29+for+Egyptian+patients;Multivariate;Classification;Integer$Real;1385;29;2019
QSAR fish toxicity;https://archive.ics.uci.edu/ml/datasets/QSAR+fish+toxicity;Multivariate;Regression;Real;908;7;2019
QSAR aquatic toxicity;https://archive.ics.uci.edu/ml/datasets/QSAR+aquatic+toxicity;Multivariate;Regression;Real;546;9;2019
Human Activity Recognition from Continuous Ambient Sensor Data;https://archive.ics.uci.edu/ml/datasets/Human+Activity+Recognition+from+Continuous+Ambient+Sensor+Data;Multivariate$Sequential$Time-Series;Classification;Integer$Real;13956534;37;2019
WISDM Smartphone and Smartwatch Activity and Biometrics Dataset;https://archive.ics.uci.edu/ml/datasets/WISDM+Smartphone+and+Smartwatch+Activity+and+Biometrics+Dataset+;Multivariate$Time-Series;Classification;Real;15630426;6;2019
